user_count,skilltest_tenure,hr_tenure,fp_tenure,longest_tenure_type,longest_tenure_days,all_rates,mean_rate,median_rate
8455,None,None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8456,"[813, 27, 2]",None,"[773, 25, 2, 'None', 'None', 'None']",,0,[],None,None
8457,"[2236, 74, 6]",None,"[1858, 61, 5, 'None', 'None', 'None']",,0,[],None,None
8458,"[651, 21, 1]","[587, 19, 1, [49.0], 49.0, 49.0]","[60, 2, 0, 'None', 'None', 'None']",,0,[49.0],49.0,49.0
8459,"[1546, 51, 4]","[593, 19, 1, [15.0], 15.0, 15.0]","[1538, 51, 4, 'None', 'None', 'None']",,0,[15.0],15.0,15.0
8460,None,None,"[80, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8461,"[80, 2, 0]","[76, 2, 0, [15.0, 10.0], 12.5, 12.5]",None,,0,"[15.0, 10.0]",12.5,12.5
8462,"[829, 27, 2]","[819, 27, 2, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
8463,"[212, 7, 0]","[100, 3, 0, [19.0, 13.75], 16.38, 16.38]",None,,0,"[19.0, 13.75]",16.38,16.38
8464,None,"[0, 0, 0, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8465,None,"[520, 17, 1, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8466,"[2027, 67, 5]","[1642, 54, 4, [50.0, 83.33], 66.66, 66.66]",None,,0,"[50.0, 83.33]",66.66,66.66
8467,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8468,None,"[0, 0, 0, [31.57], 31.57, 31.57]",None,,0,[31.57],31.57,31.57
8469,"[160, 5, 0]","[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
8470,None,"[1685, 56, 4, [35.0, 11.11], 23.05, 23.05]",None,,0,"[35.0, 11.11]",23.05,23.05
8471,None,"[0, 0, 0, [40.0, 30.0], 35.0, 35.0]",None,,0,"[40.0, 30.0]",35.0,35.0
8472,None,"[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8473,"[340, 11, 0]","[114, 3, 0, [40.0, 35.0, 20.0, 30.0], 31.25, 32.5]",None,,0,"[40.0, 35.0, 20.0, 30.0]",31.25,32.5
8474,"[1858, 61, 5]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8475,None,"[0, 0, 0, [28.0], 28.0, 28.0]",None,,0,[28.0],28.0,28.0
8476,"[1367, 45, 3]","[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8477,None,None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8478,"[81, 2, 0]","[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8479,"[495, 16, 1]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8480,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8481,None,"[0, 0, 0, [70.0], 70.0, 70.0]",None,,0,[70.0],70.0,70.0
8482,None,None,"[1272, 42, 3, 'None', 'None', 'None']",,0,[],None,None
8483,"[525, 17, 1]",None,"[429, 14, 1, 'None', 'None', 'None']",,0,[],None,None
8484,"[430, 14, 1]","[178, 5, 0, [25.0], 25.0, 25.0]","[338, 11, 0, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8485,"[180, 6, 0]","[44, 1, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8486,None,None,"[73, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8487,"[711, 23, 1]",None,"[76, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8488,None,None,"[611, 20, 1, 'None', 'None', 'None']",,0,[],None,None
8489,None,"[53, 1, 0, [35.0], 35.0, 35.0]","[842, 28, 2, 'None', 'None', 'None']",,0,[35.0],35.0,35.0
8490,None,"[181, 6, 0, [75.0, 65.0], 70.0, 70.0]",None,,0,"[75.0, 65.0]",70.0,70.0
8491,None,None,"[367, 12, 1, 'None', 'None', 'None']",,0,[],None,None
8492,"[145, 4, 0]",None,"[45, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8493,None,"[636, 21, 1, [25.0, 25.0, 18.0], 22.67, 25.0]","[131, 4, 0, 'None', 'None', 'None']",,0,"[25.0, 25.0, 18.0]",22.67,25.0
8494,None,None,"[26, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8495,"[1445, 48, 3]","[414, 13, 1, [43.75, 32.0, 22.22], 32.66, 32.0]","[331, 11, 0, 'None', 'None', 'None']",,0,"[43.75, 32.0, 22.22]",32.66,32.0
8496,"[765, 25, 2]","[698, 23, 1, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
8497,"[69, 2, 0]","[0, 0, 0, [25.0], 25.0, 25.0]","[59, 1, 0, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8498,"[466, 15, 1]","[184, 6, 0, [25.0, 25.0, 30.0], 26.67, 25.0]","[240, 8, 0, 'None', 'None', 'None']",,0,"[25.0, 25.0, 30.0]",26.67,25.0
8499,None,None,"[19, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8500,"[696, 23, 1]","[674, 22, 1, [21.0], 21.0, 21.0]","[539, 17, 1, 'None', 'None', 'None']",,0,[21.0],21.0,21.0
8501,None,None,"[60, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8502,"[1354, 45, 3]",None,"[1277, 42, 3, 'None', 'None', 'None']",,0,[],None,None
8503,"[1284, 42, 3]","[1018, 33, 2, [15.0, 16.67, 5.56], 12.41, 15.0]","[1273, 42, 3, 'None', 'None', 'None']",,0,"[15.0, 16.67, 5.56]",12.41,15.0
8504,None,None,None,None,None,[],None,None
8505,None,None,"[61, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8506,"[72, 2, 0]",None,"[48, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8507,"[70, 2, 0]",None,"[38, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8508,"[1280, 42, 3]","[0, 0, 0, [12.0], 12.0, 12.0]",None,,0,[12.0],12.0,12.0
8509,None,"[0, 0, 0, [30.0], 30.0, 30.0]","[54, 1, 0, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
8510,None,None,"[19, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8511,"[995, 33, 2]",None,None,,0,[],None,None
8512,"[170, 5, 0]",None,"[166, 5, 0, 'None', 'None', 'None']",,0,[],None,None
8513,"[269, 8, 0]","[171, 5, 0, [28.0, 15.0], 21.5, 21.5]","[262, 8, 0, 'None', 'None', 'None']",,0,"[28.0, 15.0]",21.5,21.5
8514,"[205, 6, 0]",None,"[296, 9, 0, 'None', 'None', 'None']",,0,[],None,None
8515,"[500, 16, 1]","[458, 15, 1, [25.0], 25.0, 25.0]","[488, 16, 1, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8516,"[329, 10, 0]",None,"[314, 10, 0, 'None', 'None', 'None']",,0,[],None,None
8517,"[1406, 46, 3]",None,None,,0,[],None,None
8518,None,"[0, 0, 0, [35.0, 40.0], 37.5, 37.5]",None,,0,"[35.0, 40.0]",37.5,37.5
8519,"[326, 10, 0]",None,"[59, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8520,None,None,"[605, 20, 1, 'None', 'None', 'None']",,0,[],None,None
8521,None,"[0, 0, 0, [30.0], 30.0, 30.0]","[450, 15, 1, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
8522,"[384, 12, 1]",None,None,,0,[],None,None
8523,"[512, 17, 1]","[0, 0, 0, [3.0], 3.0, 3.0]","[77, 2, 0, 'None', 'None', 'None']",,0,[3.0],3.0,3.0
8524,None,None,None,None,None,[],None,None
8525,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8526,None,"[0, 0, 0, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8527,"[677, 22, 1]","[0, 0, 0, [17.0, 30.0], 23.5, 23.5]",None,,0,"[17.0, 30.0]",23.5,23.5
8528,"[399, 13, 1]","[0, 0, 0, [40.0], 40.0, 40.0]","[379, 12, 1, 'None', 'None', 'None']",,0,[40.0],40.0,40.0
8529,None,None,"[79, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8530,"[91, 3, 0]","[0, 0, 0, [40.0, 31.13], 35.56, 35.56]","[72, 2, 0, 'None', 'None', 'None']",,0,"[40.0, 31.13]",35.56,35.56
8531,"[523, 17, 1]","[531, 17, 1, [25.0], 25.0, 25.0]","[883, 29, 2, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8532,"[612, 20, 1]","[0, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8533,"[298, 9, 0]",None,"[150, 5, 0, 'None', 'None', 'None']",,0,[],None,None
8534,"[537, 17, 1]",None,"[453, 15, 1, 'None', 'None', 'None']",,0,[],None,None
8535,None,"[30, 1, 0, [40.0, 40.0, 44.44], 41.48, 40.0]","[156, 5, 0, 'None', 'None', 'None']",,0,"[40.0, 40.0, 44.44]",41.48,40.0
8536,"[80, 2, 0]","[0, 0, 0, [45.0, 45.0], 45.0, 45.0]",None,,0,"[45.0, 45.0]",45.0,45.0
8537,"[208, 6, 0]","[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8538,"[505, 16, 1]",None,"[84, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8539,"[75, 2, 0]",None,"[82, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8540,"[163, 5, 0]","[0, 0, 0, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8541,"[95, 3, 0]",None,"[96, 3, 0, 'None', 'None', 'None']",,0,[],None,None
8542,None,None,"[46, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8543,None,None,"[46, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8544,"[152, 5, 0]",None,"[83, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8545,"[183, 6, 0]","[95, 3, 0, [25.0], 25.0, 25.0]","[0, 0, 0, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8546,"[18, 0, 0]","[461, 15, 1, [81.25, 75.0, 50.0, 50.0], 64.06, 62.5]",None,,0,"[81.25, 75.0, 50.0, 50.0]",64.06,62.5
8547,None,None,"[33, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8548,None,"[23, 0, 0, [22.0], 22.0, 22.0]","[25, 0, 0, 'None', 'None', 'None']",,0,[22.0],22.0,22.0
8549,"[1673, 55, 4]","[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8550,"[658, 21, 1]","[655, 21, 1, [10.0, 25.0], 17.5, 17.5]","[638, 21, 1, 'None', 'None', 'None']",,0,"[10.0, 25.0]",17.5,17.5
8551,"[1045, 34, 2]","[0, 0, 0, [16.13, 35.0], 25.56, 25.56]",None,,0,"[16.13, 35.0]",25.56,25.56
8552,None,"[0, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8553,None,"[339, 11, 0, [35.0, 35.0], 35.0, 35.0]",None,,0,"[35.0, 35.0]",35.0,35.0
8554,None,None,"[760, 25, 2, 'None', 'None', 'None']",,0,[],None,None
8555,None,None,"[62, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8556,"[297, 9, 0]",None,"[292, 9, 0, 'None', 'None', 'None']",,0,[],None,None
8557,"[303, 10, 0]",None,"[289, 9, 0, 'None', 'None', 'None']",,0,[],None,None
8558,None,"[18, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8559,None,None,"[46, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8560,None,"[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8561,"[241, 8, 0]","[171, 5, 0, [20.0, 30.0], 25.0, 25.0]","[0, 0, 0, 'None', 'None', 'None']",,0,"[20.0, 30.0]",25.0,25.0
8562,None,"[0, 0, 0, [38.0, 38.0], 38.0, 38.0]",None,,0,"[38.0, 38.0]",38.0,38.0
8563,"[501, 16, 1]",None,None,,0,[],None,None
8564,"[703, 23, 1]",None,"[558, 18, 1, 'None', 'None', 'None']",,0,[],None,None
8565,"[255, 8, 0]",None,"[144, 4, 0, 'None', 'None', 'None']",,0,[],None,None
8566,"[437, 14, 1]",None,"[143, 4, 0, 'None', 'None', 'None']",,0,[],None,None
8567,"[1507, 50, 4]",None,"[1476, 49, 4, 'None', 'None', 'None']",,0,[],None,None
8568,None,None,"[18, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8569,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8570,"[885, 29, 2]",None,"[473, 15, 1, 'None', 'None', 'None']",,0,[],None,None
8571,None,None,"[82, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8572,None,None,None,None,None,[],None,None
8573,None,None,"[52, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8574,None,None,"[28, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8575,None,"[0, 0, 0, [16.67, 17.78], 17.23, 17.23]",None,,0,"[16.67, 17.78]",17.23,17.23
8576,"[53, 1, 0]",None,"[39, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8577,None,None,"[60, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8578,None,None,"[44, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8579,None,"[0, 0, 0, [83.33, 60.5], 71.91, 71.91]",None,,0,"[83.33, 60.5]",71.91,71.91
8580,"[733, 24, 2]","[0, 0, 0, [30.0], 30.0, 30.0]","[27, 0, 0, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
8581,None,None,"[262, 8, 0, 'None', 'None', 'None']",,0,[],None,None
8582,"[187, 6, 0]",None,"[84, 2, 0, 'None', 'None', 'None']",,0,[],None,None
8583,None,"[0, 0, 0, [15.0, 25.0, 25.0], 21.67, 25.0]",None,,0,"[15.0, 25.0, 25.0]",21.67,25.0
8584,"[824, 27, 2]","[54, 1, 0, [38.0], 38.0, 38.0]",None,,0,[38.0],38.0,38.0
8585,None,None,None,None,None,[],None,None
8586,None,"[120, 4, 0, [33.33], 33.33, 33.33]","[81, 2, 0, 'None', 'None', 'None']",,0,[33.33],33.33,33.33
8587,"[676, 22, 1]","[71, 2, 0, [45.0, 32.0], 38.5, 38.5]","[360, 12, 0, 'None', 'None', 'None']",,0,"[45.0, 32.0]",38.5,38.5
8588,None,None,"[174, 5, 0, 'None', 'None', 'None']",,0,[],None,None
8589,"[67, 2, 0]",None,"[55, 1, 0, 'None', 'None', 'None']",,0,[],None,None
8590,None,"[0, 0, 0, [40.0, 35.0, 30.0], 35.0, 35.0]",None,,0,"[40.0, 35.0, 30.0]",35.0,35.0
8591,"[80, 2, 0]","[0, 0, 0, [75.0], 75.0, 75.0]",None,,0,[75.0],75.0,75.0
8592,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8593,"[1925, 64, 5]",None,None,,0,[],None,None
8594,None,None,None,None,None,[],None,None
8595,None,None,None,None,None,[],None,None
8596,"[17, 0, 0]",None,None,,0,[],None,None
8597,"[19, 0, 0]",None,None,,0,[],None,None
8598,None,None,None,None,None,[],None,None
8599,"[1408, 46, 3]","[0, 0, 0, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8600,"[425, 14, 1]","[0, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8601,None,None,None,None,None,[],None,None
8602,None,None,None,None,None,[],None,None
8603,None,None,None,None,None,[],None,None
8604,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8605,None,"[1005, 33, 2, [12.0], 12.0, 12.0]",None,,0,[12.0],12.0,12.0
8606,"[1513, 50, 4]","[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8607,"[17, 0, 0]",None,None,,0,[],None,None
8608,None,None,None,None,None,[],None,None
8609,None,"[26, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
8610,"[502, 16, 1]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8611,None,"[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8612,None,"[27, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8613,"[612, 20, 1]","[0, 0, 0, [22.0], 22.0, 22.0]","[516, 17, 1, 'None', 'None', 'None']",,0,[22.0],22.0,22.0
8614,"[438, 14, 1]","[0, 0, 0, [63.0], 63.0, 63.0]",None,,0,[63.0],63.0,63.0
8615,None,None,None,None,None,[],None,None
8616,"[203, 6, 0]","[0, 0, 0, [22.5, 22.5], 22.5, 22.5]",None,,0,"[22.5, 22.5]",22.5,22.5
8617,"[1022, 34, 2]","[0, 0, 0, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
8618,None,"[0, 0, 0, [25.8], 25.8, 25.8]",None,,0,[25.8],25.8,25.8
8619,None,None,None,None,None,[],None,None
8620,None,"[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8621,None,"[27, 0, 0, [35.0, 35.0], 35.0, 35.0]",None,,0,"[35.0, 35.0]",35.0,35.0
8622,None,"[83, 2, 0, [32.0, 25.0], 28.5, 28.5]",None,,0,"[32.0, 25.0]",28.5,28.5
8623,None,"[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8624,None,None,None,None,None,[],None,None
8625,None,"[23, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8626,"[130, 4, 0]","[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8627,None,"[83, 2, 0, [25.0], 25.0, 25.0]","[0, 0, 0, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8628,"[1371, 45, 3]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8629,None,None,None,None,None,[],None,None
8630,None,"[0, 0, 0, [35.0, 35.0], 35.0, 35.0]",None,,0,"[35.0, 35.0]",35.0,35.0
8631,"[157, 5, 0]","[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8632,None,"[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8633,None,"[0, 0, 0, [65.0], 65.0, 65.0]",None,,0,[65.0],65.0,65.0
8634,None,"[0, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8635,None,None,None,None,None,[],None,None
8636,None,"[0, 0, 0, [85.0], 85.0, 85.0]",None,,0,[85.0],85.0,85.0
8637,None,"[0, 0, 0, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
8638,"[64, 2, 0]","[79, 2, 0, [63.0], 63.0, 63.0]",None,,0,[63.0],63.0,63.0
8639,"[429, 14, 1]","[74, 2, 0, [30.0, 30.0, 30.0], 30.0, 30.0]",None,,0,"[30.0, 30.0, 30.0]",30.0,30.0
8640,None,None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
8641,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8642,None,"[0, 0, 0, [25.0, 25.0], 25.0, 25.0]","[0, 0, 0, 'None', 'None', 'None']",,0,"[25.0, 25.0]",25.0,25.0
8643,None,"[120, 4, 0, [37.5, 31.0, 31.0], 33.17, 31.0]",None,,0,"[37.5, 31.0, 31.0]",33.17,31.0
8644,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8645,"[153, 5, 0]","[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8646,None,"[0, 0, 0, [25.0, 15.0], 20.0, 20.0]",None,,0,"[25.0, 15.0]",20.0,20.0
8647,None,None,None,None,None,[],None,None
8648,None,None,None,None,None,[],None,None
8649,"[423, 14, 1]","[0, 0, 0, [22.5], 22.5, 22.5]",None,,0,[22.5],22.5,22.5
8650,None,"[21, 0, 0, [23.0], 23.0, 23.0]",None,,0,[23.0],23.0,23.0
8651,"[1021, 34, 2]","[0, 0, 0, [20.0, 35.0, 30.0], 28.33, 30.0]",None,,0,"[20.0, 35.0, 30.0]",28.33,30.0
8652,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8653,None,"[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8654,"[228, 7, 0]","[0, 0, 0, [18.0, 25.0], 21.5, 21.5]",None,,0,"[18.0, 25.0]",21.5,21.5
8655,"[389, 12, 1]","[20, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8656,"[677, 22, 1]","[0, 0, 0, [17.0], 17.0, 17.0]",None,,0,[17.0],17.0,17.0
8657,None,"[0, 0, 0, [28.0], 28.0, 28.0]",None,,0,[28.0],28.0,28.0
8658,None,"[0, 0, 0, [17.0], 17.0, 17.0]",None,,0,[17.0],17.0,17.0
8659,"[358, 11, 0]","[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8660,None,"[0, 0, 0, [18.0, 25.0], 21.5, 21.5]",None,,0,"[18.0, 25.0]",21.5,21.5
8661,None,"[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8662,"[340, 11, 0]","[0, 0, 0, [14.0], 14.0, 14.0]",None,,0,[14.0],14.0,14.0
8663,"[481, 16, 1]","[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8664,None,"[0, 0, 0, [42.0], 42.0, 42.0]",None,,0,[42.0],42.0,42.0
8665,None,None,None,None,None,[],None,None
8666,"[218, 7, 0]","[0, 0, 0, [22.0, 16.67, 20.0], 19.56, 20.0]",None,,0,"[22.0, 16.67, 20.0]",19.56,20.0
8667,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8668,"[220, 7, 0]","[0, 0, 0, [40.0, 35.0], 37.5, 37.5]",None,,0,"[40.0, 35.0]",37.5,37.5
8669,"[158, 5, 0]",None,None,,0,[],None,None
8670,None,"[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8671,None,"[0, 0, 0, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
8672,"[2221, 74, 6]",None,"[1890, 63, 5, 'None', 'None', 'None']",,0,[],None,None
8673,None,"[0, 0, 0, [22.0, 10.0, 20.0, 10.0], 15.5, 15.0]",None,,0,"[22.0, 10.0, 20.0, 10.0]",15.5,15.0
8674,None,"[0, 0, 0, [27.0], 27.0, 27.0]",None,,0,[27.0],27.0,27.0
8675,"[361, 12, 0]","[0, 0, 0, [22.0, 35.0], 28.5, 28.5]",None,,0,"[22.0, 35.0]",28.5,28.5
8676,None,None,None,None,None,[],None,None
8677,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8678,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8679,None,"[0, 0, 0, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
8680,"[1305, 43, 3]","[1329, 44, 3, [15.0, 8.0, 8.89, 8.89], 10.2, 8.89]",None,,0,"[15.0, 8.0, 8.89, 8.89]",10.2,8.89
8681,None,"[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8682,None,"[152, 5, 0, [39.8, 35.0], 37.4, 37.4]","[55, 1, 0, 'None', 'None', 'None']",,0,"[39.8, 35.0]",37.4,37.4
8683,"[1169, 38, 3]","[0, 0, 0, [3.0, 45.0, 3.0, 3.0, 50.0], 20.8, 3.0]",None,,0,"[3.0, 45.0, 3.0, 3.0, 50.0]",20.8,3.0
8684,None,"[0, 0, 0, [38.89, 27.0], 32.95, 32.95]",None,,0,"[38.89, 27.0]",32.95,32.95
8685,None,None,None,None,None,[],None,None
8686,None,None,None,None,None,[],None,None
8687,"[609, 20, 1]",None,None,,0,[],None,None
8688,"[47, 1, 0]",None,None,,0,[],None,None
8689,None,None,None,None,None,[],None,None
8690,"[328, 10, 0]","[0, 0, 0, [34.0, 15.0, 29.0], 26.0, 29.0]",None,,0,"[34.0, 15.0, 29.0]",26.0,29.0
8691,"[135, 4, 0]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8692,None,"[0, 0, 0, [25.6], 25.6, 25.6]",None,,0,[25.6],25.6,25.6
8693,None,None,None,None,None,[],None,None
8694,"[128, 4, 0]",None,None,,0,[],None,None
8695,None,None,None,None,None,[],None,None
8696,None,None,None,None,None,[],None,None
8697,None,None,None,None,None,[],None,None
8698,None,None,None,None,None,[],None,None
8699,None,"[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
8700,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8701,None,"[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
8702,None,"[0, 0, 0, [25.0, 25.0], 25.0, 25.0]",None,,0,"[25.0, 25.0]",25.0,25.0
8703,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
8704,"[1007, 33, 2]","[0, 0, 0, [18.0], 18.0, 18.0]",None,,0,[18.0],18.0,18.0
8705,"[562, 18, 1]",None,"[301, 10, 0, 'None', 'None', 'None']",,0,[],None,None
8706,None,"[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
8707,"[337, 11, 0]","[0, 0, 0, [38.89], 38.89, 38.89]",None,,0,[38.89],38.89,38.89
8708,None,"[0, 0, 0, [45.0], 45.0, 45.0]",None,,0,[45.0],45.0,45.0
8709,None,"[0, 0, 0, [3.0], 3.0, 3.0]",None,,0,[3.0],3.0,3.0
8710,None,"[461, 15, 1, [25.0], 25.0, 25.0]","[461, 15, 1, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
8711,None,"[0, 0, 0, [32.0], 32.0, 32.0]",None,,0,[32.0],32.0,32.0
8712,"[3702, 123, 10]",None,None,,0,[],None,None
8713,None,"[0, 0, 0, [22.5], 22.5, 22.5]",None,,0,[22.5],22.5,22.5
8714,None,"[0, 0, 0, [12.0, 12.0], 12.0, 12.0]",None,,0,"[12.0, 12.0]",12.0,12.0
8715,"[312, 10, 0]","[0, 0, 0, [17.5], 17.5, 17.5]",None,,0,[17.5],17.5,17.5
8716,None,"[0, 0, 0, [22.0], 22.0, 22.0]",None,,0,[22.0],22.0,22.0
8717,"[29, 0, 0]","[0, 0, 0, [50.0, 40.0], 45.0, 45.0]",None,,0,"[50.0, 40.0]",45.0,45.0
8718,None,"[0, 0, 0, [26.32], 26.32, 26.32]",None,,0,[26.32],26.32,26.32
8719,"[65, 2, 0]","[0, 0, 0, [62.5], 62.5, 62.5]",None,,0,[62.5],62.5,62.5
8720,"[74, 2, 0]","[0, 0, 0, [35.0], 35.0, 35.0]",None,,0,[35.0],35.0,35.0
8721,None,"[0, 0, 0, [60.0], 60.0, 60.0]",None,,0,[60.0],60.0,60.0
8722,"[103, 3, 0]",None,None,,0,[],None,None
8723,None,None,None,None,None,[],None,None
8724,None,None,None,None,None,[],None,None
8725,None,"[0, 0, 0, [45.0, 40.0], 42.5, 42.5]",None,,0,"[45.0, 40.0]",42.5,42.5
8726,"[55, 1, 0]",None,None,,0,[],None,None
8727,None,None,None,None,None,[],None,None
