institution,comment,degree
Saratoga High School,Top #10 High Schools in the Nation / 95% Graduation Rate (most went to Tier 1 Schools),
Mchenry High school,,
Lake Nona High School,,Associate of Arts (A.A.)
Manila Science High School,,High school degree
Varina High School,,High school degree
Jenison High School,"Honor roll graduate. I was involved in a number of extracurricular activities in a school district known for their excellent fine arts programs: concert band, marching band, jazz band, drumline, choir, and musical theater.",High school degree
Mountain View High School,,High school degree
Escambia High School,,High school degree
Andrew J Terrell High School,,
Rahway High School,,High school degree
San Marcos High School,,High school degree
Rancho Bernardo High School,,
Newington High School,,
Western Hills High School,,
Shorecrest High School,,
Kelso High School,,High school degree
Mastbaum Vocational Technical High School,,High school degree
Goffstown High School,,
Newport Harbor High School,High School Diploma Received,
Timberlane Regional High School,,High school degree
Michael Diller High School,,High school degree
Eldorado High School,,
Brooke High School,,High school degree
Mount Vernon High School,,
Mount Vernon High School,,
Smyrna High School,,High school degree
Jm thanks high school,I took Spanish AP classes as I did with most other classes,
North Central High School,High School,
Jenks High school,,Associate of Arts and Sciences (A.A.S.)
E.E Smith High School,,High school degree
high school graduate,,
Morris Innovative High School,,High school degree
Gonzales High School,,High school degree
Apache Junction High School,,High school degree
Columbus High School,,
Brookville Area High School,,
Platt High School,,High school degree
Dobyns-Bennett High School,"Focus on computers, as well as drafting/CAD.  

I participated in the work-study program where I autonomously repaired school computers for three hours a day.",
Grayson High School,,High school degree
Redlands High School,Graduated June 2017,High school degree
Wichita High School East,,
Navarre High School,,
Warren High School,,
Birmingham High School,,High school degree
Clearview Regional High School,,High school degree
Pelham High School,"Rank: 10 out of 175
GPA: 4.1198",High school degree
Steubenville High School,I earned a high school diploma.,
El Dorado High School,"While a high school degree is the extent of my formal education, I am a strong believer in self-development and coaching.",High school degree
Primavera online high school,,High school degree
New Milford High School,(Did not graduate during this term),High school degree
Union High School,,High school degree
Redondo Union High School,Standard high school studies.,
Central De Witt High School,,
George Washington High School,,Bachelor of Business Administration (B.B.A.)
Salem High School,,High school degree
Garfield High School,,High school degree
Southfield High School,,
Mater Dei High School,,High school degree
Wilton High School,,
Middle Township High School,,
Reeltown High School,,
Drayton High School,Educated in London England,High school degree
Miami Sr. High School,,High school degree
Garland High School,International Baccalaureate diploma recipient.,High school degree
Hillcrest High School,,
Midland Valley High School,,High school degree
Jersey Village High school,,High school degree
Temple City High School,,Associate's degree
New Manchester High School,,High school degree
La Puente High School,,
Randall High School,"Basic marketing and business through college, one year in Tai Lopez Social Media Marketing program.",High school degree
High school for tourism,,High school degree
Eldorado High School,,High school degree
"Guadalpin High School, Marbella, Spain.",,Associate's degree
Tigard High School ,,
Freedom High School,,
Muscle Shoals High Schooll,,
Bayshore High School,,
Manistique High School,,High school degree
Goochland High School,,High school degree
Glen Rock High School,,
Rutherford High School,,
Abraham Lincoln Senior High School,,High school degree
Watonga High School,,
North Central High School,,High school degree
Central High School,Computer Tech,
Catonsvile High School,,High school degree
Clinton Massie High School,,
La Joya High School,"Graduated as salutatorian in a high school of 3000+ students. Was active in mathematics and science competitions as well as marching band, drama, and honor society. In my senior year, I co-taught AP Calculus and AP Physics.",High school degree
Mont Pleasant Technical High School,Basic principles of electricity and electronic components.,
George W. Hewlett High School,,
Sequoyah High School,,
Mena High School,,
Hendersonville High School,,
Lafayette High School,,
Monrovia High School,,High school degree
Excel High School,,High school degree
Cherry Creek High School,,
McKinley Technology High School,"Blue Ribbon school in Washington, D.C. that requires students to select a major course of study and complete related courses in addition to the high school curriculum mandated by the school board.",High school degree
La Salle High School,,High school degree
Benson Polytechnic High School,,High School
Central High School,,
Granada Hills High School,,High school degree
Herndon High School,Advanced Diploma,
Riverdale High School,,
DeSoto High school,,High school degree
St Anthony’s High School,,
Northwood High School,,High school degree
Chino High School,,
Wylie High School,,High school degree
Carbon High School,,
Cox High School,,High school degree
Long Reach High School,,
Long Reach High School,,
Cherry Hill High School East,,High school degree
Pioneer High School,,
Citrus High School,,High school degree
Perry Hall High School,,High school degree
Central High School,journalism ,
Madison Central High School,,High school degree
Denver Online High School,"National Honors Society Secretary, Speaker at Graduation, State qualifier for the National Forensics League in Dramatic Interpretation of Literature.",High school degree
Bishop Connolly High School,,GED
Harmony High School,,High school degree
Trinity Senior High School,"Major GPA     -     4.565
Minor GPA     -     3.75

Extracurricular activities include positions of leadership as well as additional work on teams and committees:

-Model United Nations (President)
-FBLA (Webmaster)
-Science Club (Treasurer and Secretary)
-Spanish Club (Member)
-Beta Club (Member)
-National Honors Society for High School Scholars (Member)
-National Technical Honor Society (Member)
-Tennis Team (Member)",Diploma
Denison High School,,
Danbury High School,,High school degree
High School,,
Lexington High School,,Diploma
Lincolnwood High School,,High School Diploma
Brooklyn Technical High School,,High school degree
Corning-Painted Post East High School,,High School Diploma
Alexander Hamilton High School,,High school degree
Sullivan North High School,I am currently still attending Sullivan North High School,
Sauk Prairie High School,,
High School,I started working in startups when I was nineteen.,High school degree
Herndon High School,,
Carlmont High School,,High school degree
Blountstown Senior High School,Graduated from Blountstown Senior High School in May 2011 with a regular diploma.,High school degree
Mcnair Academic High School,,High school degree
High School of Music & Atrs,,Bachelor of Technology (B.Tech.)
Normandy High School,,Other
Plantation High School,Dual enrollment program while in high school,Associate of Arts and Sciences (A.A.S.)
Plantation High School,,High school degree
"Stillwater High School, Stillwater, MN","Excelled in Office Training, including typing, bookkeeping, and short hand",High school degree
Arts High School,Arts High (aka The School for The Industrial and Performing Arts) is a magnet high school for artistically gifted kids. Here I'd learn foundational skills in fine art and photography that'd serve me well throughout my design career.,High school degree
Wilmington High School,,
East Hamtilton High School,,
Wachusett Regional High School,,High school degree
Murray High School,"I've taken 6 Technical classes in my high school experience and I am going to take 2 more this following semester, because of this I am eligible to earn a technical cord upon graduation. I'm also the IT club president at my school. I have taken the java programming state exam 3 times now, with over a 90% each time.",High school degree
Hibriten High School,,High school degree
Allegany-Limestone High School,,High School
West Anchorage High School,,
Pressly High School,I graduated high school in 2010.,High school degree
Abington Senior High School,,High school degree
Abington Junior High School,,
Boonville High School,,Diploma
Cresskill High School,,Diploma
Bremerton High School,,Diploma
Ridgefield Park High School,,High school degree
West Salem High School,,
Chino Valley High School,I graduated from Chino Valley High School with a wide array of experience and positive recognition. My most notable achievements include: winning a county-wide essay contest; being awarded by the Optimist Club for service within my community; and excelling in dual-enrollment courses in English Composition and College Algebra/Math.,High school degree
Arkansas High School,,
Bountiful High School,,
Collierville High School,,High school degree
Valley Forge High School,,High school degree
Caroline High School,,High School
Oswego High School,,High School
High school  Mirpur (A.K),"I've got study from Nursery to Metric Class  in 1994,

Fsc.(Faculty of Science)  Intermediate Government Degree Collage Mirpur A.K 1996.

B.Sc(Bachelor of Science) from (A.K) university in 1998.

Courses and Skills of computer and software programs.
                                             from 
Kashmir institute of computer Science 2000.",Foundation degree
ST. Andrews High School,"Achieved a 3.8 average. Invited to enroll in a Honors Psychology class.  Since all my tests were 100 %, my final exam, was to write the 100 question final exam for this class.",High School
Central High School,,High school degree
Somerset High School,"I was on my school's UIL Spelling team and won many 1st and 2nd place trophies, as well as 5th place overall in a regional competition with my only event being Spelling whereas most of my competition participated in three to four different events/categories.",High school degree
Emmaus High School,"My time at Emmaus High School was spent in honors or advanced placement courses. I studied French and Latin in order to gain a better understanding of our language. I was a member of several clubs, including French and Latin clubs as well as Peer Mentoring.",High school degree
Bradley Central High School,,High school degree
ALC High school,,
Sacred Heart High School,,High School
High School,,
San Maros High School,,High school degree
Edgewood High School,,
Hickory High School,,
Amery High school,,
Mount Dora High School,,Diploma
Robert E. Lee High School,,High School
Gordon Central High School,,High school degree
Chugiak High School,"My elective courses centered around the creative arts: Orchestra, choir, radio and television communications, music theory, and journalism.",High school degree
King High School,,High school degree
Chariton High School,,
Frederick Douglass High School,,
6th October STEM High School for Boys,,High school degree
Science Hill High School,I dropped out of high school and got my GED.,High school degree
Lake Region High School,When I was a senior in high school I excelled in English Honors courses and took and enjoyed Creative Writing. ,High School
Hillsdale High School,Graduated in top 25 of my class.,High School
Winter Haven Senior High School,"In my time at Winter Haven High School, I was enrolled in the JROTC program for 3 complete years. My main focus of study was Computer Technology. This is where I obtained my HTML 5 app development Certification, as well as my Adobe Associate Certification. On top of that, I also took Video Game design for 3 full years as well.",
Los Gatos High School,,High school degree
Garden Grove high school,Graduated at the top 10% of my graduating class. Obtained Honor Roll for all four years of high school.,Diploma
Casar oble High School ,,High school degree
Henderson HIgh School,Some college courses business,High School
Kamiak High School,"Took 3 years of Viscom (Visual Communications) 
Learned how to edit video footage with Adobe Preimere Pro
Learned how to edit photos in Adobe Photoshop and Lightroom",High school degree
Alameda High School,,
Matawan Regional High School,Worked as one of the editors for the school's newspaper my junior/senior year,High school degree
El Camino High School,,
High School,,High school degree
Van Buren High School,,High school degree
Wilmington High School,,High school degree
Dallas Senior High School,,High school degree
Malabon National High School,,High school degree
Grandville High School,,High School
Columbia High School,,
Sunlake High School,,High School
Red Mountain High School,High School,High school degree
Elsik High School,,
Hempfield High School,,Diploma
Pemberton Township High School,,
Parkview High School,,
John Marshall High School,"I am a self taught programmer using sources such as: EdX, YouTube and programming books.",High school degree
Parsippany High School,I have taken a couple of courses at the local college for business.  I have also passed my property and casualty exam and have my license.  I am working on renewing my P&C license renewal by taking CE classes as well.  I am also looking into getting my legal assistant certificate.,High school degree
Grafton High School,,High school degree
sandusky high school,,Diploma
Piedmont High School,North Carolina Scholar,Diploma
Circleville High School,,High school degree
Thomas Edison High School,,
Pocahontas County High School,,High School
Andrean High School,"Outstanding Achievement in Foreign Language (German)
National Merit Scholar Finalist",
Canyon Springs High School,,High school degree
Granbury High School,Graduated Alumni,
Corona High School,,
Jamestown High School,,High School
Paint Branch High School,"I went to a magnet school and took AP English Sophmore, Junior, and Senior years.",Diploma
Clover High School,,High school degree
Berkner High school,,High school degree
Redbank Valley High School,,
Jackson High School,,
Jefferson Davis High School,,
Okeechobee High School,,High school degree
Montrose High School,,High school degree
Easton Area High School,,High school degree
Colville Senior High School,,High school degree
san marcos high school,,High school degree
West Monona Community High School,"Bookkeeping, typing",Foundation degree
Bethel Park High School,,
Buford High School,,High school degree
Elmira High School,,High school degree
High School,,
Woodbridge high school,,High school degree
Hillcrest High School,,
Lane Tech High School,"ACE Award, Majorettes, Students of Service, Big Buddies, Aspira",
Gateway Middle/High School ,,High school degree
Hoquiam High School,,High school degree
Rutledge High School,,High School
Fred T Foard High School,,High school degree
North Central High School,,High school degree
Robinson High school,,High school degree
Cony High School,,High School
Wakulla high school,General High school. ,
Grandview High School,,High school degree
High School of Commerce,,High School Diploma
Oceana High School,Obtained high school diploma.,High school degree
Davison High School,,
Lenape High School,Coursework related to the state's high school requirements.,High school degree
Northview High School,IN PROGRESS,
Fort Mill High School,,High School Diploma
Wharton High School,,High school degree
Bishop Guertin High School,,
Central High School,,
High Point High School,,
socastee high school,,High school degree
Estancia High School,,
franklin academy high school,,High school degree
Neshaminy Langhorne High School,,
James Madison High School,Graduated from High School,High School
Westlake High School,High school was easy,
Oberlin High School,"The subjects pursued at High School level are as follows:

GCE A' Level: General Paper 

CAPE: Management of Business, Sociology, Caribbean Studies and Communication Studies

CXC:   Mathematics, English A, English B, History, Biology, Office Procedures, 
           Principles of Business, Principles of Accounts",High School
Belen High School,,High school degree
South Park High School,,High school degree
Mountain View High School,Graduated with 3.8 cumulative GPA.,High school degree
North Hall High School,Took marketing and video and broadcasting classes all four years of high school,High school degree
Cabot High School,,High school degree
Marina High School,,
pompton lakes high school,,High school degree
Mount Vernon High School,,
"Covington High School, Covington, TN",,High school degree
Cape May County Technical High School,,
Penn Foster High School,,High school degree
Western Brown High School,I got my degree for High School From this school.,High school degree
Lower Richland High School,,
George Washington Hewlett High School,,
Campbell County High School,,High school degree
Centennial High School,,High school degree
North Canyon High School,,
Coppell High School,,High School Diploma
Oregon High School,Completed my general high school diploma with honors and a year early.,
South Garland High School,I graduated a year early and in the top 10% of my class.,
St. Isabel High School,,High school degree
Ranchview High School,,Diploma
South High School,,High School
Bonny Eagle High School,"3.9 GPA unweighted, 4.2 weighted with Highest Honors
Relevant courses: 
AP Chem, Calculus, Music Theory
Human Anatomy & Physiology",High school degree
Notre Dame High School,High School Diploma.,
Coronado High School,,High school degree
Kamiakin High School,"Additional courses taken: Keyboarding, Intro to Business and Creative Writing.",High school degree
Fremont Ross High School,,High school degree
Montclair High School,,
East Gaston High School,,
Rancho Bernardo High School,,
Waukesha West High School,,High school degree
Danbury High School,,
Eustis High School,,High school degree
Elyria high school,,
Neenah High School,,
Methacton High School,,
"Pope Paul VI High School, Westmont, NJ",,High school degree
Eureka High School,,
Watauga High School,,High School
Forsyth Central High School,,
North Myrtle Beach High School,,High school degree
Bais Yaakov High School,Graduated with honors in Secular and Hebrew studies,High school degree
Bending Oaks High School,,High school degree
J.J. Pearce High School,,High school degree
Virgil I. Grissom High School,Advanced Diploma,
Park Rapids Area High School,,High school degree
Hannah-Pamplico High School,,High school degree
Herbert Henry Dow High School,,High school degree
Las Vegas High School,Awarded an advanced diploma for completing with a 3.5 GPA,High school degree
South Broward High School,,
Archbishop McCarthy High School,,High school degree
Lakewood High School,I took classes in High School but on the job training is more relevant now.,
North Hall High School,,
Mt Abram High School,"Web Design, Graphic Design, Photography, Digital Photography, and Portfolio Development Classes",High school degree
Jesuit High School,"Graduated from Jesuit High School
High School Degree",
North West Early College High School,,Associate of Arts (A.A.)
Metropolitan High School,"General studies, High school graduate, c/o June 2006",High school degree
Birmingham Community Charter High School,,High school degree
Wimberley High School,,
Cambridge High School,,High school degree
Skyline High School,,High school degree
Dulaney High School,,Diploma
Birmingham High School,"General education with special ed. instructors utilizing sign-language and note-takers. 

Graduated with diploma in June 1982.",
McCollum High School,,High school degree
Lamar High School,,
Southside High School,,High school degree
High school Amersfoort the netherlands,,High school degree
Abraham Clark High School,Attended grades 8-12.,High school degree
W.F Kaynor Technical High school,"Attended Kaynor tech for autobody collision and repair, also took classes on graphic design and illustration!",High school degree
Coldwater High School,,High school degree
Castlemont High School,,High School Diploma
Concord High School,,
Dan River High School,,Diploma
Eastern Hills High School,,High school degree
North High School,,High school degree
Canyon High School,,
Republic high school,,
Bettendorf High School,,Associate's degree
King William High School,,
King Mills High School,,
Oak Ridge High School,"I obtained four online credits in three months in order to graduate on time, due to being away because of family matters. I'm very proud of my degree because of the amount of effort I exerted to get it.",High school degree
Whitehall High School,,High school degree
Key West High School,I'm currently in 3 different graphic design classes.,High school degree
Pisgah High School,,High school degree
Brooklyn International High School,,High school degree
Bergen County Technical High School,,High school degree
Benson Polytechnic High School,,
PCC Collegiate High School,Graduated with High Honors.,High school degree
Downey High School,,High school degree
South Amboy High School,,High school degree
Plantation High School,,High school degree
Genoa Christian Academy High School,,High school degree
Mason City High School,,High school degree
Arlington High School,,
High School and College,,Bachelor of Arts (B.A.)
Silverton High School,,High school degree
City View High School,,
Mechanicsburg Area High School,"Received ""Business Student of the Year"" award
Performed clarinet, piano, and percussion instruments in multiple choral and instrumental settings.",High school degree
Maria Carrillo High School,I have completed every academic subject in a college preparatory setting of either Advanced Placement or honors courses.,High school degree
Three Rivers High School,,High school degree
Cody High School,,
NPHS North Port High School,,
Evergreen High School,,
Seneca High School,,High school degree
Saint Louis Park High School,"I believe that regardless the education level if said ""person"" can deliver what is expected from them then they are a good service.",High school degree
Tamaqua Area High School,,High school degree
Brownwood High School,,Diploma
Putnam City North High School,,High School
Estes Park High School,,
McGehee High School,I graduated with a 3.4 GPA and ranked in the top 20 students in my graduating class. I also was a member of revered academic clubs such as Beta Club and National Honor Society.,High school degree
Chandler High School,,High School
Proctor High School NY,,High School
McFarland High School,,
Rakvere Vocational High School,,Other
Forney High School,,High school degree
Gwynn Park High School,,High school degree
Naugatuck High School,,High school degree
Westfield High School,,High School
Addison High School,Continued high school and graduated cum laude with a general high school diploma.  Received Award of Excellence and Certificate of Distinction in Calculus I.,Diploma
Mesa Ridge High School,,High school degree
Hickory High School,,High school degree
Lincoln High School,,High school degree
Westosha Central High School,,High school degree
Penn Foster High School,,High school degree
Mancos High School,,
Altavista High School,,High School
Pentucket Regional High School,,
Bearden High School,,
La Grande High School,,High school degree
Moline High School,,High school degree
North Warren Reginal high school,,High school degree
Carrollton HIgh School,,High school degree
Molalla Union High School,,High school degree
Concord High School,,High school degree
Highland Springs High School,,
Mahanoy Area High School,I was a 4.0 student and in National Honor Society!,High school degree
Puyallup High School,,High school degree
Roosevelt High School,,High school degree
Sun Prairie High School,,
North Desoto High School,,Associate's degree
West Allegheny High School,,High school degree
High School,,
York High School,,High school degree
Franklin high school,,
Collinsville high school,,High school degree
Grosse Pointe North High School,,High school degree
alfred e smith high school,,
Rolling Meadows High School,,High school degree
Grant Union High School,,High school degree
Coachella Valley High School,,High school degree
Penn Foster Online High School,Honors Student,High school degree
Martin County West High School,,
East Coweta High School,,
St. Anthony's Catholic High School,,
Shippensburg High School,Graduated from Shippensburg High School,
Keystone National High School,,
Fort Dorchester High School,,High school degree
Boonville High School,Received high school diploma,
C.E. Byrd High School,Regular High School,High school degree
Northeast High School,,High school degree
Clewiston High School,I'm a self taught individual,
Ronald Reagan High School,,High school degree
Spring High School,,High school degree
Franklin Central High School,I graduated with academic honors.,High school degree
Bridgewater Raynham Regional High School,,High school degree
Fort Lauderdale High School,,
Wilbur Cross High School,,High school degree
Coral springs high school,,
Milwaukee High school of the arts,,High school degree
Wallkill Senior High School,Received academic achievement awards in English all four years of high school.,High school degree
Dublin High School,,
Dublin High School,,
High School Of Fashion Industries,,
Monterey High School,,
Vanden High School,,High school degree
Duncanville High School,,Bachelor of Fine Arts (B.F.A.)
New Rochelle High School,,
Hale High School,,
St. Johns High School,,High school degree
Norphlet High School,"""Norphlet High School is a secondary school located in Norphlet, Arkansas, United States. It is one of six public high schools in Union County and is the only high school that is administered by the Norphlet School District."" via https://en.wikipedia.org/wiki/Norphlet_High_School",High school degree
John W North High School,,High school degree
"Charles Colgan high school, Stonewall Jackson high school","I'm actually still in high school- but Charles Colgan high school, is a CFPA, and I took some art classes there",
Liberty High School,"From a young age, I knew that college would not be a part of my path. At the age of 16, I began working as a professional performer and I haven't looked back. It has taught me strength, courage, and perseverance.",
Arlington High School,,Associate of Arts (A.A.)
Titusville High School,,High school degree
Swedish High School,,High school degree
Gunnison Valley High School,General Education,
Tulare Western High School,,High school degree
Montufar High School,,High school degree
T. C. Williams High School,Advanced High School Diploma,
Paul Robeson High School for Business and Technology,,High school degree
Greenfield High School,,High school degree
Rich South High School,,High school degree
Goochland High School,,High school degree
Chelsea High School,,
Zanesville High School,,
Kern Valley High School,,High school degree
Mosman High School,,High school degree
Hillsboro High School,,
Rock Hill Senior High School,,High school degree
Bountiful High School,,
Athens High School,,High school degree
DeLand High School,,High school degree
Mundelein High School,,
Foothill High School,,High school degree
"South Sioux City Senior High School South Sioux City, Nebraska",,
Central High School,,
Sunny Hills High School,Graduated and got my High School Diploma.,High school degree
Northwest Cabarrus High School,,
Belleville West High School,,High school degree
Kerr high school,,
Sheridan High School,,High school degree
Henry Abbott Technical High School,,High school degree
Casa Roble High School,,High school degree
Boone County High School,,High school degree
John S. Battle High School,,High school degree
Virginia High School,,
Bristow High School,Graduated valedictorian of distinction of my class.,
Hoover High School,,High school degree
Sultana High School,Currently enrolled as a full-time student with concurrent enrollment at community college.,High school degree
Muskogee High School,,
High School in U.S. & Israel,"I graduated from my high school in Mayfield Hts., Ohio and spent my Senior year abroad in Israel and graduated from that school as well.",
Keystone National High School,,High school degree
La Sierra High School,,
Carrollton High School,,High school degree
Watertown High School,"3.5 GPA, Played Varsity Baseball all four years",High school degree
Pennsbury High School,Focus in Advanced Placement Computer Science Courses.,High school degree
Permian High School,,High school degree
San Diego High School,,High school degree
Kern Valley High School,,High school degree
Valley Center High School,,High school degree
Crawford High School,,
Linn Mar High School,,High school degree
Clarkstown High School North,,High school degree
Jefferson high school,,High school degree
Harrison Central High School,,High school degree
LaSalle Florida High School,,Bachelor of Business Administration (B.B.A.)
Escambia High School,,
Washington Township High School,,High school degree
Gilbert High School,,High school degree
Okeechobee High School,,High school degree
Van Horn High School,,
Scotts Hill High school,I want to get my degree in something with audio. I really love it and I want this to be my future.,
Damascus High School,,
High School of Art and Design,,
Catoosa High School,,High school degree
Independence High School,,
langham creek high school,,
Greendale High school,"I am still in high school looking for some money online, I have basic knowledge of business and am good at math and science.",
Princeton High School,Graduated 1987,
Crivitz High School,,
Lapeer East High School,,
Chatfield High School,,
South Laurel High School,,High school degree
Oak Park High School,,Engineer's degree
Notre Dame High School,,High school degree
Okay High School,"National Honor Society 2001-2013
FCCLA State Champion 2013
FCCLA National Gold Medalist 2013
Oklahoma Academic Scholar 2013
FCCLA District Judge 2013-2014
Softball Varsity Starter 2009-2013
Texas Regional Wildlife Judging Champion 2010
Texas State Wildlife Judging Runner Up 2010
Basketball Manager 2009-2011
Volleyball Manager 2011-2013
PAWS Volunteer 2011-2013
Meals on Wheels 2008-2013
Teaching Assistant 2012-2013
Coaching Assistant 2009-2013
Tutor 2010-2013
Junior Civitan Member  2011-2013",
Jefferson City High School,,High school degree
Brashier Middle College Charter High School,,High school degree
Nashua High School North,,High school degree
Bethany Christian High School,,High school degree
Burkeville High School,,High school degree
Martin High School,"LET ME BE CLEAR I WAS FORCED TO PUT A DEGREE, ATTENTION I DID NOT GO TO COLLEGE",Associate of Arts (A.A.)
"West Mecklenburg High School,  Charlotte, NC",,High school degree
School Without Walls Senior High School,,
Atascocita High School,,
Westerville North High School,My high school diploma. I graduated in May of 2016.,High school degree
Coronado High School,,High school degree
Yelm High School,,
Charles R. Drew High School,,High school degree
Richard Gahr High School,,High school degree
Silver lake regional high school,,High school degree
Acadiana High School,,High school degree
Lexington high school,,
High School,Still a high school student; not yet graduated high school.,
Denmark High School,,
Oak Park High School,,High school degree
Mt Pleasant High School,,High school degree
Lincoln County High School,,High school degree
Sayville High School,,High school degree
Miami Lakes High School,,
Central High School,"I am taking my Digital Media Course early, in my Senior year of High School. Next Year, I will be going to college at Mineral Area College to finish my education with an Associates Degree in Digital Media Production.",
Mount Pleasant High School,,
Evergreen Park Community High School,,
Bellefontaine High School,,
Chino High School,,
Penfield High School,,High school degree
River Forest High School,,High school degree
Central High School,,Associate's degree
Columbia High School,,
Schemectady High School,,
Portage Northern High School,National Honors Society member. Took International Baccalaureate English test and received a 6 out of 7.,High school degree
Walker Valley High School,,High school degree
Fergus Falls High School,"I have take various art classes as well as writing classes. I had a poem published in a book that was made by my Middle School, as well as winning a few competitions. My last writing class was an Advanced Creative Writing class.",High school degree
Redondo Union High School,,
Santaluces High School,,
Bismarck High School,,High school degree
Slidell High School,,High school degree
Whippany Park High School,High scool,Associate's degree
Phillipsburg High School,,High school degree
Worcester Technical High School,,
Meridian Technical Charter High School,I go to a professional charter high school which teaches technical skills,
Collinwood High School,I graduated in the top 15% of my class. My G.P.A stood tall at 3.7. I studied French for a secondary language. My primary focus of study was to ultimately become a teacher being enrolled in the Thematics program. Our class studied psychology to help understand  children as well as adults. Team building exercises performed daily and relationship building tasks were most helpful.,High school degree
Decatur Central High School,,High school degree
Richmond High School,,High school degree
Burrell High School,,High school degree
Central Valley High School,,High school degree
Huntsville High School,"Member of VICA club for 4 years
Graduated with a 2.6 GPA and a 2 year old child",High school degree
Hellgate High School,Just your average high school.,High school degree
Hall high school,,High school degree
Renaissance High School,,
Eastside High School,I've studied sociology and practical law.,High school degree
Greeley Central High School,,
Thomas Edison High School,,
Johnston City High School,,High school degree
Crosswinds High School,,
Little Chute High School,,High school degree
Carmel High School,,
Damien High School,,Master of Computer Applications (M.C.A.)
Bonanza High School,Graduated with honors and received the millennium scholarship.,High school degree
Billerica Memorial High School,,
Markesan High School,,High school degree
Gates Chili High School,,High school degree
Oak Ridge High School,Three- Year High School Graduate,
INDEPENDENCE HIGH SCHOOL,,
Columbia Central High School,, 
Colgan HIgh school,I became AutoCAD certified in my Freshman year and I am currently looking for work,
Park East High School,,High school degree
Rancho Bernardo High School,Received my Diploma,High school degree
Shelby County High School,,High school degree
Christian Brothers College High School,,
Greenfield High School,,High school degree
James F. Byrnes High School,"I finished high school with a 4.6/5.0 GPA and received several scholarship offers from various institutions such as Loyola University Chicago, Furman University, and Wofford University.",High school degree
White Mountains Regional High School,,High school degree
Liberty Hill High School,,
Frederick Douglass High School,,High school degree
Gateway High School,,High school degree
Fort Lauderdale High School,High school diploma,High school degree
Nimitz High School,,High school degree
Wm. H. Harrison High School,,
Marquette Senior High School,,High school degree
Eastridge Senior High School,,High school degree
Central High School,,High school degree
Hendersonville High School,,High school degree
North Valley High School,,High school degree
Bullard High School,,
Glenbard South High School,,
Everett High School,,High school degree
High School,,High school degree
Brooklyn Technical High School,,High school degree
High School,,
High School,,
High School,,
Lake Washington High School,,High school degree
Badger High School,,High school degree
Ludlow high school,,High school degree
High school in Poland,I was study 2 years in Poland 'engeenering and water managment' currently I am living in USA.,
Skyview High School,Three months later,
Huntington North High School,Graduated a year early when I was a Junior.,High school degree
Mark Keppel High School,,
Eaton High School,4years.,
Amon Carter High School,,High school degree
Park High School,,High school degree
Blanco High School,,High school degree
Concord High School,,
Clifton High School,,High school degree
Saint Albert High School,,High school degree
Lincoln high school,,High school degree
Concord Community High School,,
San Gabriel high school,,
Newbury Park High School,,High school degree
Needham High School,,
St. Raymond High School For Boys,,High school degree
Woodland Park High School,I am certified in web development skills and only have high school has my education experience.,
Cy Ranch High School,,High school degree
Farmersville High School,,
Westmer HIgh School Joy Illinois,,High school degree
Vincent High School,,High school degree
Crosby-Ironton High School,,
Phoenix High School,,High school degree
Avon Grove High School,,
Sylvania Southview High School,,High school degree
burleson high school,,High school degree
Towanda Area High School,,High school degree
McEachern High School,,High school degree
Raytown South High School,"I have used my voice for Choir, theater, and soccer. My classes as of this year are Geometry, Spanish 3, Debate, Microbiology, World History, Expository Writing, and Choir! I also narrate our school's sports events, as long as I'm not participating in them!",
Lakeland High school,,
Monsignor Farrell High School,,
Henry Abbott Technical High School,,High school degree
Rocky River High School,,
Klein High School,,High school degree
Midway High School,,High school degree
Santa Rosa Adult High school,,High school degree
Coppell High School,,High school degree
Bingham High School,Graduated with Highschool Diploma,High school degree
Eden Prairie High School,,High school degree
Florence High School,,
James B Conant High School,,High school degree
Central High School,,
Theodore Roosevelt high school,,High school degree
High School,I am 18 years old and finishing up in high school. I will be graduating in January of 2018,High school degree
Hendrickson High School,,High school degree
Monta Vista High School,Monta Vista is one of the nations top rated high schools.,High School
Clovis High School,,
long island city high school,,High school degree
Burrell High School,,
Baker County Senior High School,,High school degree
Maurice J. Mcdonough High School,,High school degree
Jordan High School,,High school degree
"Boiling Springs High School, Boiling Springs SC",,
Potomac Falls High School,,
Cocoa High School,,
Sheridan High School,,High school degree
Shrine Catholic High School,,High school degree
Villa Grove High School,,High school degree
Davis Senior High School,,High school degree
Elgin High School,,High school degree
Fountain Ft.Carson High School,"Held positions in the French Club, UBS Team, VolleyBall & SoftBall Teams, Poetry Warriors Club.",High school degree
Peabody Veterans Memorial High School,,High school degree
St aug eng med high school India,,Bachelor of Engineering (B.Eng.)
Rocky Mountain High School,"Producer of school news broadcast, placed 4th in the Business Professionals of America National Competition in Broadcast News Production",High school degree
south eugene high school,,High school degree
Washington High School,,
Taylorsville High School,,
Central High School,,Other
Scotia-Glenville Senior High School,,
Tamarac High School,Took 3 years of video production classes,High school degree
Cheyenne High School,,High school degree
Saint Ignatius High School,"Large all male Catholic high school located near downtown Cleveland, Ohio",High school degree
Vista High School,Graduated early at 16,High school degree
Bonnabel High School,,High school degree
