degree_category,institution,comment,degree
Other,IEEE Course,"IEEE course covering the fundamentals of C# language, the .NET framework, window and web-based applications, ADO.NET, ASP.NET, and XML.",Other
Other,Oregon State University,"Finance Accounting Foundations
Strategic Marketing
Negotiation Strategies
Management and Human Resource Essentials",Other
Other,Oregon State University,"Legal Business Structures
ERISA & Executive Compensation
Restricted Stock Taxation
Stock Options Structure and Taxation",Other
Other,"Manpower (Quito, Ecuador)",,Other
Other,"EBOTEX (Panama City, Panama)",,Other
Other,"Dismotex (Quito, Ecuador)",,Other
Other,"Zenu (Bogota, Colombia)",,Other
Other,"SENA (Bogota, Colombia)",,Other
Other,Queensland University of Technology,,Other
Other,University of Minnesota - Carlson School of Management,,Other
Other,Nothingham University,,Other
Other,New York Institute of Photography,,Other
Other,Le Wagon,,Other
Other,Parsons School of Design,,Other
Other,Pratt Institute,,Other
Other,CSU Dominquez Hills,"- 4.0 GPA
- Member of PsiChi honor society
- Conducted research in regards to brain function and the veracity of various psychological theories as a research assistant to the heads of both the Neurological Psychology and the Social Psychology departments",Other
Other,Universita’ Per Strenieri di Siena,"- Studied Italian language and culture in Siena, Italy
- Translation",Other
Other,Udacity,Nanodegree - in process,Other
Other,Udacity,Nanodegree program.  Covered all aspects of digital marketing.,Other
Other,"University of California, Berkeley",Selected multiple times as a top writer in the program,Other
Other,"University of California, San Diego",,Other
Other,Self-taught & work experience,I have been working in the web development field for 18 years with focus on PHP and Drupal in the last 8.,Other
Other,Suffolk University,Took graduate level accounting courses to qualify for CPA exam,Other
Other,Hunter College,,Other
Other,PACT,"1 year course in computer programming, focused on C++ and Java, followed by a 1 year apprenticeship developing a Java and C++ API for TrackData for developers to utilize in building their own trading and financial programs.",Other
Other,Hack Reactor,,Other
Other,Sales & Negotiation Training,"• Selecting Winners - Hiring Successful People

• Winning Inc. - Managing a Winning Team

• Winning, Inc.: The Sandler Sales Method

• BayGroup International: Situational Sales Negotiation

• InfoMentis: Sales Strategy Workshop

• Dr. Betty Sugarman: Core Consulting Skills

• On Target: Target Account Selling

• D'Innocenzo - Cullen & Associates: Customer Focused Selling

• The Dale Carnegie Course

• The Complete Sale, Inc.: Negotiating for Value",Other
Other,Florence School of Fine Arts,"Study abroad program in Florence, Italy",Other
Other,Harvard Business School,I hold a PMD from HBA,Other
Other,"California State University, Fullerton",,Other
Other,American Public University System,,Other
Other,Tulane University,Post Graduate Certificate in Computer Information Systems,Other
Other,Pacific Northwest Film Scoring Program,"Headed by two time Emmy-winning composer Hummie Mann, this MM (Master of Music) in Film Composition degree is a thorough immersion into writing music for Film, TV, and other media. Throughout the program, students score 9 films for live musicians (including a 50-piece orchestra).",Other
Other,Universal Technical Institute,,Other
Other,"University of California, Los Angeles",Completion of the 2015 Animation Institute,Other
Other,Tulane University - A.B. Freeman School of Business,,Other
Other,Udacity,"A program designed to teach HTML, CSS, and Javascript from basic concepts to advanced real world applications.

Website: 
https://www.udacity.com/course/front-end-web-developer-nanodegree--nd001",Other
Other,Udacity,"A program designed to understand and learn the basics of programming through HTML, CSS, and Python as well as develop how to problem-solve like a programmer.

Wedsite:
https://www.udacity.com/course/intro-to-programming-nanodegree--nd000",Other
Other,Berklee College of Music,"Online certificate, Studio Production Specialist",Other
Other,Musicians Institute,"Certificate, Gold Award",Other
Other,Johns Hopkins University,"Post-Master's Certification in Quantitative Methods for Applied Economics
Forecasting Certification",Other
Other,Stanford University,"Stanford Innovation and Entrepreneurship Professional Certificate   
( http://create.stanford.edu )",Other
Other,Wagner College,,Other
Other,Villanova University,,Other
Other,Universidad de Sevilla,"During my year-long study abroad in Seville, Spain, I took supplemental Spanish and business courses at the Universidad de Sevilla in order to complete my college requirements in the U.S.",Other
Other,The Center for Cross-Cultural Studies,"I studied abroad for one full school year in Seville, Spain during my bachelor's degree studies at Wartburg College. In Seville I took intensive Spanish Language and Culture courses as well as worked for 5 months at a local travel agency in Seville doing bilingual PR and Tourism in English and Spanish. 

Activities and Societies: Flamenco/Sevillana dance classes, Big Brothers/Big Sisters student ambassador program, Topazio Capoeira Group, Asociación Coral de Sevilla",Other
Other,Minneapolis College of Art and Design,Advanced certificate level courses in comprehensive graphic design and typography program,Other
Other,IPI GCM,,Other
Other,Project Management Institute,Project Management Professional Exam Prep,Other
Other,Villanova University,,Other
Other,Nassau Community College,Associates of Science degree.,Other
Other,Jackson Memorial Hospital Pharmacy Residency Program,General Practice - Emergency Medicine - Toxicology,Other
Other,University of Costa Rica,,Other
Other,Fanstory,"Currently enrolled in an online ""Flash Fiction"" classroom, learning how to
effectively write flash fictional pieces good enough for publication.",Other
Other,Texas School of Business,"Took Medical Assisting courses. Relevant studies include typing, computer
knowledge and medical terminology knowledge. Maintained a 4.0 GPA and was on
the President's List, an honor given to those who maintain a 4.0 GPA,  several
times.",Other
Other,Houston Community College,Studied core curriculum for 1 year. Relevant studies included college level English courses.,Other
Other,Delta College,I received my associate's degree in Criminal Justice from Delta College graduating with a 3.7 GPA and as a member of the Phi Theta Kappa national honors organization.,Other
Other,University of Florida,,Other
Other,DeVry University,I have 6 credit hours remaining on that degree.,Other
Other,University of Exeter,,Other
Other,Rollins College,Certificate in Proposal Writing from the Rollins College Philanthropy and Nonprofit Leadership Center,Other
Other,"JM Internet Group, USA",Search Engine Optimization and Internet Marketing Strategies,Other
Other,"Web CEO University, UK","Study the systematic approach to website promotion, including SEO, PPC advertising, E-mail Marketing",Other
Other,Johnson County Community College,"Award winning graphic design (3 awards) and completed Associate Degree of Applied Science - Graphic Design at Johnson County Community College.

Dean's Honor Roll - at least 3.5 GPA (all but 3 semesters when I was on the President's Honor Roll)
President's Honor Roll - 4.0 GPA (3 semesters)

Phi Theta Kappa Member

AIGA Member",Other
Other,Flint Hills Technical College,"Completed Associate Degree of Applied Science - Graphic Arts Technology

Focused on print pre-press and press technologies, including offset lithography and screen printing techniques.

Completing this program enables me to design faster and smarter because I am fully aware of the gamut of production issues.",Other
Other,Musicians Institute,I have graduated from the Audio Engineering certificate program at Musicians Institute in June 2017 with a 3.5 GPA.,Other
Other,Universidad Nur,,Other
Other,Dev Bootcamp,18 week Intensive programming and web development course.,Other
Other,New York City Technical College,,Other
Other,George Westinghouse High School,,Other
Other,CSN,,Other
Other,University of Maryland,Took one computer science course in C++.  Transferred away to Devry University.,Other
Other,"Producer, Engineer | MVP",,Other
Other,The George Washington University,,Other
Other,Cornell University,,Other
Other,Coder Camps,,Other
Other,New York University,,Other
Other,Bakersfield College,,Other
Other,Code Fellows,Student of Code Fellows Full Stack JavaScript Development - Specializing in MERN development.,Other
Other,National Education Center,Successfully completed an AA Degree in Mechanical and Computer Aided Design.,Other
Other,University of Florida,,Other
Other,Columbus College of Art & Design,,Other
Other,Fashion Institute of Technology,,Other
Other,Western Texas College,"Received an Associate of Arts degree in General Studies.

Ranked in top 10% of my class.

  
Courses included computer programming and drawing along with all the basics.",Other
Other,"Southend College of Technology,",,Other
Other,"California State University, Long Beach",,Other
Other,Utah State University - Jon M. Huntsman School of Business,,Other
Other,Umpqua Community College,"Studied Civil Engineering with extra classes in Math and Physics.
VP Engineering Club
Tutored Algebra, Calculus, Chemistry, Physics, Writing, and Engineering.
Was on President's Honor Roll and Dean's Honor Roll",Other
Other,University of West Florida,Graduated Magna Cum Laude,Other
Other,Chipola College,,Other
Other,George E. Wallace Community College,,Other
Other,Self Taught,"This is when it all began for me in CAD.

I was staging corporate events and literally drafting my fingers to the bone.

When IBM introduced that 16bit extended memory workhorse called the AT we
decided to jump in.

As there were no front end applications for theatrical event production, I
started creating them and haven't stopped since.",Other
Other,Shillington College,,Other
Other,Bunker Hill Community College,Also Completed Course Work In: Graphic Design & Small Business Administration,Other
Other,Texas Woman's University,,Other
Other,Institute of Company Secretaries of India,,Other
Other,Institute of Chartered Accountants of India (ICAI),,Other
Other,Institute of Cost and Work Accountants of India,,Other
Other,Code Fellows,"Create server-side web applications using Node.js with industry standard developer tools such as Mocha, Chai, and Gulp.  Use Express.js and MongoDB to create maintainable REST APIs.  Build client-side web applications using Angular.js with an emphasis on test-driven development.",Other
Other,Boston University,,Other
Other,University of Houston,,Other
Other,Harvard University,,Other
Other,North Texas central college,,Other
Other,STLCC - St Louis Community College,"Mechanics, operation, and safety of a commercial driver.",Other
Other,STLCC - St Louis Community College,,Other
Other,Slate/BUD Program,Precautions and safety of the work place.,Other
Other,Slate/BUD Program,,Other
Other,MET Center/CPC - Construction Prep Center,,Other
Other,Missouri School for Doctor's Assistants,,Other
Other,Lincoln Memorial University - DeBusk College of Osteopathic Medicine,,Other
Other,Massachusetts Institute of Technology,,Other
Other,NWACC,Associates degree,Other
Other,United States Department of Labor,The apprenticeship program provided through the US Department of Labor provides individuals with verifiable skills in that allow students to effectively perform the jobs in which they apprentice.,Other
Other,Northern Virginia Community College,"Enrolled in the Computed Information Systems Associate of Science degree
program.

Course work included:  Computer Programming (Basic, Cobol), Computer Business
Applications, System Management, Computer Program Design, Software
Applications, Math.",Other
Other,Spring Arbor University,,Other
Other,Spring Arbor University,"Bachelor's Degree in Liberal Arts 
Master's Degree in Organizational Development
International Professional Speaker

Extensive Continuous Improvement Corporate Development that includes but is not limited too:

Professional Selling Skills I & II Certification
Covey Leadership Training & Certification
Jack Carew Training & Certification 
Excellence Training 
Forethought Institute 
Michigan Insurance License - Limited Life
Leadership Training 
Certified Pet Loss Professional 
Certified in Greif",Other
Other,Illinois Center for Broadcasting,,Other
Other,Pennsylvania State University,Graduate Certificate (4 courses),Other
Other,American University in Cairo,,Other
Other,Saint Joseph's University,,Other
Other,Western Kentucky University,,Other
Other,Ohio State University,Journalism Major,Other
Other,Lewis and Clark College,,Other
Other,Pennsylvania State University,"Graduate Certificate in Solar Energy
Currently working on Masters",Other
Other,Udacity,,Other
Other,Udacity,,Other
Other,Gwinnett Technical College,Office Accounting & Computerized Accounting Certification,Other
Other,3D Training Institute,,Other
Other,Institute of Chartered Accountants of India (ICAI),,Other
Other,UCLA Extension,"Continuing studies coursework for managing business, business law, entertainment law, and several marketing courses including social media and new media marketing.",Other
Other,Columbia University in the City of New York,,Other
Other,Sanford Brown Institute,,Other
Other,Swinburne University of Technology,Master of Information Technology,Other
Other,Central University of Gujarat,Bachelor of Computer applications,Other
Other,Boise State University,,Other
Other,"New School University, New York, NY",,Other
Other,"New York University, NY NY",,Other
Other,Harper College,,Other
Other,Kaplan University,,Other
Other,University of Utah,"Minor in Business.

Related Activities: 
University Venture Fund, $18MM student-run venture capital fund
TopJobs, the Honors Finance Society
Director of Outreach, Utah Entrepreneur Challenge",Other
Other,Grossmont Junior College,"Attended Grossmont Junior College from 1977 to 1980. One class short of
earning an AA in Business Management & Administration. GPA was 3.25.",Other
Other,Science and Technology Institute,"I took a two-year course,  but decided to end it after my first year to focus on my physical therapy profession. Throughout my first year of study in this college, I have learned some basic programming, but I did not pursue it. I have developed my touch typing skills, that resulted to 60-80 wpm with 98-100% accuracy, throughout my course and also had developed my accounting skills.",Other
Other,Nueva Ecija Colleges,"During this year, we were moving a lot so I was only able to attend a semester in this college.",Other
Other,Emilio Aguinaldo College,I only studied for a year in this college. It was too far away from home so I  have decided to transfer to a closer college.,Other
Other,A+ Certification,"Returned to school and received training in PC repair, and Networking",Other
Other,Pensacola Junior College,,Other
Other,Fort Lewis College,,Other
Other,Dekalb Perimeter College,,Other
Other,Cuyahoga Community College - Metro,I am currently pursuing the completion of Certificate of PC Maintenance and an Associates in Networking Hardware and Networking Software.,Other
Other,Cuyahoga Community College (Western),,Other
Other,Normandy High School,,Other
Other,Positive Education Program (PEP),,Other
Other,Pacific Northwest Film Scoring at The Seattle Film Institute,Working towards earning a Film Music Composition Masters Degree at the PNWFS under the direction of Hummie Mann.,Other
Other,Paris Junior College,"Certificate of completion Medical Transcription/Medical Billing
Courses included medical terminology and spelling, office procedures, human anatomy and physiology, 10 key, and medical billing.  Learned skills necessary to transcribe different types of medical reports in numerous specialties.

Dean's Honor List - 2007",Other
Other,Texas Woman's University,Studied Business Administration with focus in Marketing,Other
Other,London Metropolitan University,Certificate of Completion of the online DipTrans Training Course,Other
Other,H & R Block,passed program with score of 92% from 9-week program meeting 3 hours a day twice a week,Other
Other,Self-Study,Self-taught in Massachusets Personal lines insurance. Received Producer license dated December 2008 valid thriugh August 2011,Other
Other,Blackstone's Career Institute,"Coursework included: Torts, Criminal Law, Domestic Law, Wills & Trusts,
Corporations & Partnerships, and Legal Research.",Other
Other,Allen County Community College,"GPA: 3.52/4.0, Graduated Dean’s List Coursework included: Accounting I &II;,
Finance, Economics, and Marketing",Other
Other,Minneapolis Business College,"Minneapolis Business College, Roseville, Minnesota Associate in Applied
Science Degree – Graphic Design, September 2007 - December 2008, Graduated
with GPA – 4.0 

Areas of Study Included:
Advertising Art Portfolio, Comprehensive Illustration, Design & Color Theory, Desktop Publishing, Drawing, Electronic Drawing, Electronic Layout & Design, Design & Presentation Development, Multimedia & Animation, Typography, Web Design, Introduction to Production, Business Communications, Professional Develop",Other
Other,San Diego City College,Associate of Arts in Accounting,Other
Other,DeVry University,"Associates in Health Information Technology

Dean's List

3.5/4.0 GPA while working 40 hours a week",Other
Other,"University of Paris 7 (Paris, France)",This was a doctoral program. However the dissertation was never completed.,Other
Other,Health Care Training Institute,I have certificates both in Ultrasound and Medical Assisting,Other
Other,SCC,,Other
Other,PSI Institute,,Other
Other,Wayne County Community College-East,I achieved a 4.0 average in a male dominated class.  Was hired by a major dealership before I received my mechanics license.  Letter of recommendation from the teacher.,Other
Other,Regent University,,Other
Other,Itawamba Community College,,Other
Other,lynda.com,"Certificate of Completion
Foundations of Photography: Composition
Awarded to Rebekah Peterman on 12/18//2013

This Certificate of Completion recognizes the fact that Rebekah Peterman is dedicated to staying current, expanding knowledge, and developing new software skills.

lynda.com is an award-winning provider of educational materials, including the lynda.com library with over 2,090 online courses (more than 106,000 video tutorials). By learning with lynda.com, our members increase their creati",Other
Other,lynda.com,"Certificate of Completion
Foundations of Photography: Lenses 
Awarded to Rebekah Peterman on 9/12/2013

This Certificate of Completion recognizes the fact that Rebekah Peterman is dedicated to staying current, expanding knowledge, and developing new software skills.

lynda.com is an award-winning provider of educational materials, including the lynda.com library with over 2,100 online courses (more than 107,000 video tutorials). By learning with lynda.com, our members increase their creative abi",Other
Other,lynda.com,"Certificate of Completion
Travel Photography: Seaside Road Trip 
Awarded to Rebekah Peterman on 9/5/2013

This Certificate of Completion recognizes the fact that Rebekah Peterman is dedicated to staying current, expanding knowledge, and developing new software skills.

lynda.com is an award-winning provider of educational materials, including the lynda.com library with over 2,090 online courses (more than 106,000 video tutorials). By learning with lynda.com, our members increase their creative a",Other
Other,lynda.com,"Certificate of Completion
Foundations of Photography: Exposure 
Awarded to Rebekah Peterman on 9/6/2013

This Certificate of Completion recognizes the fact that Rebekah Peterman is dedicated to staying current, expanding knowledge, and developing new software skills.

lynda.com is an award-winning provider of educational materials, including the lynda.com library with over 2,090 online courses (more than 106,000 video tutorials). By learning with lynda.com, our members increase their creative ab",Other
Other,BJU,"2000, (workshop) Beginner & Intermediate PowerPoint",Other
Other,BJU,1998/1999 - (course) Computer Applications II,Other
Other,University of Memphis,course work toward teaching certification,Other
Other,University of Memphis,course toward teaching certificate,Other
Other,University of Memphis,course work toward teaching certification,Other
Other,University of Memphis,course toward teaching certificate,Other
Other,SUNY Empire State College,I have just received my Associate's Degree in Business Management and Economics with a concentration in Accounting.,Other
Other,Sessions Technical Design School,I have a Certificate in Web Design,Other
Other,Penn Foster,I completed the Pharmacy Technician certification program through Penn Foster.,Other
Other,US Air Force ,I received an Honorable/Medical discharge before I could finish my program.,Other
Other,Walters State Community College,I decided to join the Air Force and did not complete the program.,Other
Other,Lamar University,"I am unsure of exactly when I left; however, I did not complete my degree.  Having switched from Music Ed to Business Admin, I left college and began my working career.",Other
Other,Cuyahoga Community College,Associates of Applied Science in the Recording Arts and Technology.,Other
Other,Brookstone College of Business,,Other
Other,Mott Community College,"I have been working on my degree a little bit at a time over the last nine
years, and only recently have I been able to devote more of my time to it.  I
started out attending Jackson Community College, and transferred to Spring
Arbor University for a semester, before moving out of that area.

  
I then attended the University of Michigan's Flint campus for a semester, and
because of the expense, I took my transcripts to Mott, where I intend to
finish my Associates in CIS.

  
I find it exciting ",Other
Other,Graduate coursework,"Attended intensive seminars at Johns Hopkins University and Queen Mary University of London delving into international aspects of liability, contracts, and trademark law.

Knowledge and capabilities learned: legal research, writing, analysis, advocacy, Westlaw, Lexis",Other
Other,Montclair State College,"Music Therapy, Women's Law Studies, Art History

Attended part-time, 1 class per semester.",Other
Other,William Paterson University,"Area of study focused on Music Education and Music Theory, with concentration on clarinet and woodwinds. 

General Education credits included public speaking, English, business, psychology, women's studies, creative writing, and philosophy.",Other
Other,Florence University of the Arts (Visiting Student),,Other
Other,"Goldsmiths, University of London (Visiting Student)",,Other
Other,"University of California, San Diego",,Other
Other,Jackson Community College,First year of College,Other
Other,Parsons School of Design,I completed the Foundation Program and was two points short of an Associate. I decided to return to Boston University for my Master's the following year.,Other
Other,Seattle Central Community College,,Other
Other,Orange Coast College,Studied business with some focus on political science,Other
Other,Spring Hill College,"Studied pre-med program coursework in biology, botany, organic chemistry, symbolic logic and computer science.",Other
Other,Grand Rapids Community College,"Medical issue forced me to withdrawal from my credited courses.

Currently taking continuing education courses to further my administrative assistant capabilities.",Other
Other,Western Michigan University,Moved back to my home town due to personal reasons.,Other
Other,Marchmen Technical School,,Other
Other,California University of Pennsylvania,Spent a year studying journalism before transferring to a different school with a better program in my course of study.,Other
Other,Daymar College,"Courses include Micro Computer applications, including Excel, Word, and Power Point, as well as some mathematics, ethical decision making and college writing. Received certificate for Strategies for Success course and Perfect attendance. Presidents list with a grade average of 4.0.",Other
Other,Valley City State University,Attended VCSU for three years while completing all of my generals and then 50% of my major classes. Also played college football for the Vikings,Other
Other,"San Jacinto College, South",Completed 86 hours of credit before military parent's transfer.,Other
Other,Bradford School of Busines,Earned Associated degree in shorter time than needed for the course.,Other
Other,USA Real Estate School,"After passing course went on to take the licensing exam and became a licensed Realtor in the State of Texas, USA.",Other
Other,"Art Lycée. Russia, Omsk city",,Other
Other,"Art School №3, Russia, Omsk city",,Other
Other,Solano collage,Degree= A/S,Other
Other,Central Piedmont Community College,,Other
Other,Sessions Online College for Professional Design,I obtained certification in graphic design here.,Other
Other,Academy of Medical Arts and Business,Associates Degree,Other
Other,New York Film Academy,One-Year Screenwriting program.,Other
Other,Saint Johns River Community College,,Other
Other,Chicago,,Other
Other,Jamestown Community College,"I took classes here while in high school and throughout college.  I never ""graduated"" from here but I have many college credits from this school.",Other
Other,Computer Learning Center,,Other
Other,Kee's Business Collete,,Other
Other,ExpertRating,Virtual Assistant Certification,Other
Other,Skillcrush,"Learned how to structure, design and launch my own website with: HTML, CSS, FTPs, Domains, Hosting, JavaScript, jQuery, Ruby, Sinatra, Command Line, and Git&Git Hub.",Other
Other,PSI Institute,"I have a Certificate of Training in Data Entry & Business.
I graduated an Honor Student with a GPA of 3.97

Received many High Achiever Awards and Pins.",Other
Other,Indiana University Bloomington,Post-graduate work,Other
Other,Wisconsin Lutheran Seminary,"The equivalent degree offered by Wisconsin Lutheran Seminary upon graduation is a Masters of Divinity. I wrote and delivered in excess of 50 sermons, as well as writing a number of instructional courses, classroom teaching plans, speeches, and creative writing.",Other
Other,Dekalb Technical Institute,"DEKALB TECHNICAL INSTITUTE

Medical Terminology Course - Certified, 1992",Other
Other,Rowan Cabarrus Community College,,Other
Other,University of California at Santa Cruz,"UCSC Extension classes. Software Quality Assurance, Perl.",Other
Other,Keiser University,"Associate’s Degrees (Computer Animation, Video Game Design, and Web Design)",Other
Other,Georgetown University,"Coursework in management, marketing, communications, business accounting, finance, business policy, and strategic business development.",Other
Other,Valencia Community College,Associate's Degree,Other
Other,San Bernardino Valley College,"Being the determined and resourceful person that I am, I acquired my Associate's Degree when I was 18 while I graduated High School.

President of the Yearbook Club.
Top 10% of class.
Top two senior projects award.
Graduated with honors.",Other
Other,Lorand Eotvos Science University,,Other
Other,Full Sail University,,Other
Other,Normandale Community College,"I have four certificates in two photography classes, a drawing class and also a interior design class.",Other
Other,National American University,"I was enrolled in the accounting program with National American University for two years, when I decided to quit. I took online courses from home which I feel has helped to prepare me for online job positions.",Other
Other,Wood Tobe Cobrin School,This is a vocational trainning school,Other
Other,"Birla Institute of Technology & Science (BITS), Pilani",,Other
Other,Harvard Extension School,I had one class in Journalism at Harvard Extension School. My professor had studied at Columbia.,Other
Other,University of  Puerto Rico,,Other
Other,Fort Hays State University,,Other
Other,Morrison College,two years of a four year Bachelor's Program,Other
Other,San Diego State University,One year of college,Other
Other,PCDI,,Other
Other,Penoscot Job Corps,I also obtained my High School Equivalency Diploma & Home Builders Institute Certification.,Other
Other,Oklahoma College of Business and Technology,,Other
Other,"University of Technology, Jamaica","This was a short course that lasted for eight (8) weeks. This course provided me with knowledge and skills relevant to the installation, and maintenance of trees, shrubs, beds, borders, lawns, infrastructures and other features found in private and public landscapes.",Other
Other,Laney College,,Other
Other,Columbia University Graduate School of Journalism,,Other
Other,Brandeis University,"During university, I was also an editor on the school newspaper for 3 years.",Other
Other,Baker College,Received Associate's of Buisness / Accounting Degree with honors,Other
Other,Hocking College,"Received the ""Joyce Smith"" award.  The recipient of this award is chosen by classmates to be the person they would want to take care of them or their loved ones if they were ill.",Other
Other,South Suburban College,,Other
Other,Robert Morris College,,Other
Other,Plaza College,"Associate Degree: Computer Business Support Specialist, Plaza College, NY 	Aug/11	
Completed extensive coursework in business and technology disciplines including: business management, computer operations, networking, applications programs for word processing, spreadsheet, database management, presentations, computer imaging, e-mail, and calendar management. 
Bachelor’s Degree: Business Administration (Currently attending, not yet completed)",Other
Other,Palomar College San Marcos,"Current student, loving every minute of software engineering!  Have taken all classes from Java to C programming- still learning, and marching on..",Other
Other,"Universität Konstanz, Germany ",,Other
Other,"Université Rennes II, France",,Other
Other,PACE University ,,Other
Other,Northeastern State University,I have not completed my undergraduate degree.,Other
Other,Columbia College,,Other
Other,Cuyahoga Community College,,Other
Other,Seattle Central Community College,,Other
Other,Aestiva Milvauchiae Latinitatis,8 weeks of Latin with Fr. Foster.,Other
Other,Nassau Community College,"I did a semester at Nassau Community College before going to Binghamton. I took a European History course, a Comp 101 course, and a Public Speaking course among other things.",Other
Other,Lake Washington Institute of Technology,,Other
Other,ACCA,,Other
Other,ACCA,,Other
Other,Stuttgart Universität,In collaboration with the Institute of Parallel and Distributed Systems at Stuttgart Universität I carried out my master thesis in Sony Deutschland GmBH.,Other
Other,Virginia Western Community College,Obtained A.S. Degree,Other
Other,Itawamba Community College,"Though my focus was on Local Area Networking, I focused heavily on my optional courses to take as many computer programming courses that were available at I.C.C. and passed them all with high marks. The degree is an Associate's. The length of time taken for a two year degree accounts for changing major's after a year in computer programming as well as taking time off to reevaluate my life goals.",Other
Other,Francis Tuttle Technology Center,,Other
Other,Palm Beach State College,,Other
Other,University of Alabama Birmingham,,Other
Other,Wilimington University,,Other
Other,Southern Weslyan University,Started taking basic courses needed towards Bachelor's degree in Business.,Other
Other,Stephen F. Austin State University,,Other
Other,City College,"I acquired an Associate's degree in Investigation.
I also successfully completed an Internship where I worked with a Forensic Document Examiner assisting her with cases involving questioned signatures and handwriting analysis.
Shortly after my Internship completion, I received a Certificate of Completion for a Handwriting Analysis course from the International School of Handwriting Sciences based in San Francisco, CA",Other
Other,Centrial Piedmont Community College,,Other
Other,Elgin Community College,"Architectural design certificate, this taught me the basic of Drafting houses. Completed 1 overarching project throughout the class.  Mine was an island complex on Lbj lake texas.",Other
Other,Northern Michigan University,"The degree that I graduated with from NMU, was a Bachelor of Science in Arts. My Concentration was in Human Centered Design, where I learned Rhino as well as other creative process, aka laser cutting, cnc machine, etc.",Other
Other,Boise State University,"Boise State University, Boise Idaho
Lorman Education Services",Other
Other,Career Step,"Currently enrolled in medical transcription course, focusing on audio
transcription and improving typing speed.  (To date, overall speed has
increased to 103 wpm with 97% accuracy.)",Other
Other,Harding University,"Did graduate-level work in English and education to fulfill state requirements
for public school teacher certification.  Underwent student teaching practicum
from February-May 1997.",Other
Other,UNCG,"Concentration in Entrepreneurship, Management and Marketing.",Other
Other,Santa Fe,"Concentration on anatomy, nutrtion and athletic training.",Other
Other,State University of New York at Cortland,"National Youth Council of Ireland – Dublin, Ireland (Internship)
 Campaign Supervisor
 •Created a campaign packet that acted as a guideline to raise money for all the non-profit youth organizations in Ireland, which were to be cut out of the 2004 educational budget. 

Administrative Assistant in International Department
 •Coordinated International Education Week. 
•Welcome new international students and assisted them in adjusting to their new environment.
 •Organized and hosted a panel discussio",Other
Other,Care Courses,"Learning Centers
SIDS Risk Reduction Training
ADHD, Active or Hyperactive
Children with Special Needs: Autism Spectrum Disorder
A Joyful Life of Caregiving
Preventing Child Abuse and Helping its Victims
Mixed-age Groups in Early Childhood Programs
Child Care Administration.",Other
Other,CARE Courses,"Basic Bookkeeping, Module 1
Basic Bookkeeping, Module 2
Basic Bookkeeping, Module 3
Basic Bookkeeping, Module 4
Basic Bookkeeping, Module 5
Money Management",Other
Other,University of Wisconsin Extension,Introduction to Child Care in a Family Day Care Setting,Other
Other,WITC,Infant and Toddler Care and School Age Child Care,Other
Other,University of Wisconsin Extension,,Other
Other,Black and Decker,Certified Course,Other
Other,Cedars Sinai Medical Facility,Certified Course,Other
Other,Moorpark Junior College,Certified Course,Other
Other,Amiedu (FIN),,Other
Other,Rakvere Vocational High School,,Other
Other,Dean Jr College,,Other
Other,Virginia Commonwealth University,,Other
Other,Rockhurst University,One year of undergraduate coursework towards bachelor's degree in business management.,Other
Other,Longview Community College,Associate of Arts Degree,Other
Other,Broward Community College,"Associates degree in Humanities (studies psychology, sociology and anthropology as minors)",Other
Other,Shasta College,,Other
Other,Campbell County Vocational Technical Center,.,Other
Other,Dan Mohr School of Real Estate,Successfully completed course to take the North Carolina Real Estate License Exam. Successfully received Real Estate License.,Other
Other,IIANC,"Completed a 2 week course in preparation for the North Carolina State Exam for
Property and Casualty Insurance.  Successfully received Property and Casualty
Insurance License for North Carolina.",Other
Other,Wake Tech. Community College,"Received a 3.0 GPA. Studies included chemistry, organic chemistry, and biology.",Other
Other,Level Data Science Bootcamp,~3 month program focusing on the fundamentals of data science,Other
Other,Butte Community College,,Other
Other,The Tech Academy,"Learned programming through real-world, hands-on software development training.

• Databases & SQL, Python, Computer Science fundamentals, Project Management 
• Designed complex SQL database schemas from scratch
• Developed native GUI apps with object-oriented Python",Other
Other,Epicodus,"Built dozens of full-stack applications from scratch using server and client-side technologies.
• Ruby on Rails, Ember 2, Angular 2, HTML5, CSS3, Bootstrap, JavaScript, Node.js
• Emphasis on test-driven development and maintaining full spec coverage
• Learned how to develop in teams, talk about my code, solve problems collaboratively",Other
Other,MEDS,,Other
Other,37signals,,Other
Other,Mira Costa Community College,I have an AA degree in Internet and Multimedia Technology.,Other
Other,AAPC,,Other
Other,Portland State University,,Other
Other,Turnagain Arm Press,,Other
Other,University of North Texas,,Other
Other,Longy School of Music,"Master of Music in Opera Performance - studied opera, acting, American songbook",Other
Other,University of Northern Colorado,"Bachelor of Music in Vocal Performance - Studied opera, music theory, foreign language diction",Other
Other,Center for Leadership Development,"Leadership, Self Study, Project Planning and Execution",Other
Other,"Varna Economic University, Bulgaria",Completed three years of four of Bachelor’s degree. Came to United State and graduating this fall 2013 with A.A degree in Accounting.,Other
Other,Louisiana State University,,Other
Other,Awakened Life School of Yoga,RYT200 Yoga Instructor,Other
Other,Elite Progressive Cosmetology,Currently a licensed cosmetologist,Other
Other,Liberty University,I graduated from this Graduate Certificate program with a 3.33 GPA. ,Other
Other,Walden University,I graduated from this Graduate Certificate program with a 4.0 GPA.,Other
Other,Huron University of London,Study Abroad,Other
